Name,Distance
Noisy Ontology 1,4.0
Noisy Ontology 2,8.0
Noisy Ontology 3,9.0
Noisy Ontology 4,9.0
Noisy Ontology 5,10.0
Noisy Ontology 6,10.0
Noisy Ontology 7,12.0
Noisy Ontology 8,12.0
Noisy Ontology 9,12.0
Noisy Ontology 10,12.0
Noisy Ontology 11,13.0
Noisy Ontology 12,14.0
Noisy Ontology 13,16.0
Noisy Ontology 14,16.0
Noisy Ontology 15,16.0
Noisy Ontology 16,16.0
Noisy Ontology 17,16.0
Noisy Ontology 18,16.0
Noisy Ontology 19,17.0
Noisy Ontology 20,17.0
Noisy Ontology 21,17.0
Noisy Ontology 22,17.0
Noisy Ontology 23,18.0
Noisy Ontology 24,19.0
Noisy Ontology 25,19.0
Noisy Ontology 26,20.0
Noisy Ontology 27,20.0
Noisy Ontology 28,20.0
Noisy Ontology 29,20.0
Noisy Ontology 30,20.0
Statistic:
Min:,4.0
Max:,20.0
Avg:,14.833333333333334
